Institution,ZIP,Cost,
Iowa State University,50011-2103,21940,
Iowa Wesleyan University,52641,40720,
Iowa Western Community College,51503-1057,20434,
Itasca Community College,55744-3397,20323,
Itawamba Community College,38843-1099,11325,
Ithaca College,14850-7002,64091,
Jackson College,49201-8399,24076,
Jackson State University,39217,24780,
Jacksonville College-Main Campus,75766-4759,17932,
Jacksonville State University,36265,21831,
Jacksonville University,32211-3394,56400,
James Madison University,22807,28182,
Jamestown Community College,14701,19830,
Jarvis Christian College,75765-1470,25280,
Jefferson College,63050-2440,15707,
Jefferson Community College,13601-1897,21108,
Jewish Theological Seminary of America,10027-4649,79512,
JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools-School of Nursing,07061,41561,
Joe Kubert School of Cartoon and Graphic Art,07801,31952,
Joffrey Ballet School,10011,47600,
John A Gupton College,37203-2954,22958,
John Brown University,72761,40774,
John Carroll University,44118-4538,59892,
John Paul the Great Catholic University,92025,46418,
Johns Hopkins University,21218-2688,74028,
Johnson & Wales University-Charlotte,28202,51102,
Johnson & Wales University-Denver,80220,49755,
Johnson & Wales University-North Miami,33181,48681,
Johnson & Wales University-Providence,02903-3703,52650,
Johnson C Smith University,28216-5398,33334,
Johnson College,18508-1495,33265,
Johnson University,37998,27486,
Johnson University Florida,34744,27890,
Jones County Junior College,39437,12852,
Judson College,36756,33770,
Judson University,60123-1498,43880,
Juniata College,16652-2196,62125,
Kalamazoo College,49006-3295,63808,
Kansas Christian College,66204-1975,22236,
Kansas City Art Institute,64111-1874,56600,
Kansas City Kansas Community College,66112,21026,
Kansas State University,66506,25314,
Kansas Wesleyan University,67401-6196,42820,
Kean University,07083,30678,
Keene State College,03435-1506,29814,
Kehilath Yakov Rabbinical Seminary,10562,14425,
Kennesaw State University,30144,27253,
Kent State University at Kent,44242-0001,26670,
Kentucky Christian University,41143-1199,35176,
Kentucky Mountain Bible College,41339,15750,
Kentucky State University,40601-2355,17078,
Kentucky Wesleyan College,42301,42355,
Kenyon College,43022,74550,
Keser Torah-Mayan Hatalmud,08701-2758,15550,
Kettering College,45429-1299,27779,
Kettering University,48504-6214,58080,
Keuka College,14478,50362,
Keystone College,18440-0200,41970,
Kilgore College,75662-3299,18144,
King University,37620-2699,44730,
King's College,18711-0801,56174,
Knox College,61401-9999,60136,
Kutztown University of Pennsylvania,19530-0730,28414,
Kuyper College,49525-9781,33168,
La Roche University,15237-5898,45004,
La Salle University,19141-1199,48800,
La Sierra University,92505-8247,47883,
Lackawanna College,18509-3206,30952,
Lafayette College,18042-1768,74016,
LaGrange College,30240-2999,47360,
Laguna College of Art and Design,92651,54499,
Lake Erie College,44077-3389,46710,
Lake Forest College,60045-2399,62850,
Lake Michigan College,49022-1899,20033,
Lake Region State College,58301-1598,16275,
Lake Superior State University,49783,25535,
Lake Tahoe Community College,96150,19998,
Lakeland University,53073,44470,
Lakes Region Community College,03246,26178,
Lamar Community College,81052-3999,17878,
Lamar University,77705,23000,
Lancaster Bible College,17601-5036,38520,
